oneid,choice,profit,variable,round,marketmaker,role,numtrans,marginalbid,marginalask,time
9275,11,0,11,11,gain,buyer,8,15,15,2021-01-15 12:53:43
9275,16,-5,11,12,gain,buyer,7,16,15,2021-01-15 12:55:55
9275,16,-5,11,13,gain,buyer,9,16,16,2021-01-15 12:57:45
9275,16,-5,11,14,gain,buyer,10,16,16,2021-01-15 12:59:56
9275,16,0,11,15,gain,buyer,7,18,16,2021-01-15 13:01:25
9275,15.99,0,11,16,gain,buyer,7,16.5,16,2021-01-15 13:03:30
9275,16,0,11,17,gain,buyer,8,16.75,16,2021-01-15 13:05:55
9275,16,0,11,18,gain,buyer,8,16.75,16.5,2021-01-15 13:07:28
9275,0,0,11,19,gain,buyer,7,16.75,16.5,2021-01-15 13:09:37
9275,16,0,11,20,gain,buyer,8,16.75,16.5,2021-01-15 13:11:35
9969,26,14,27,1,gain,buyer,14,13,13,2021-01-15 12:30:46
9969,15,12,27,2,gain,buyer,14,15,14,2021-01-15 12:36:16
9969,17,12,27,3,gain,buyer,15,15,15,2021-01-15 12:37:52
9969,16,11,27,4,gain,buyer,17,16,16,2021-01-15 12:39:56
9969,15.99,0,27,5,gain,buyer,13,16,16,2021-01-15 12:41:53
9969,17,10.010000000000002,27,6,gain,buyer,17,16.99,16,2021-01-15 12:43:40
9969,16.99,11,27,7,gain,buyer,18,16,16,2021-01-15 12:45:39
9969,16,11,27,8,gain,buyer,14,16,16,2021-01-15 12:47:38
9969,16,11,27,9,gain,buyer,19,16,16,2021-01-15 12:49:35
9969,16,11,27,10,gain,buyer,18,16,16,2021-01-15 12:51:50
9969,16,12,28,11,loss,buyer,14,16,16,2021-01-15 12:53:32
9969,16,12,28,12,loss,buyer,13,16,16,2021-01-15 12:55:36
9969,16,12,28,13,loss,buyer,17,16,16,2021-01-15 12:57:32
9969,16,12,28,14,loss,buyer,18,16,16,2021-01-15 12:59:52
9969,16,12,28,15,loss,buyer,15,16,16,2021-01-15 13:01:26
9969,16,12,28,16,loss,buyer,15,16,16,2021-01-15 13:03:40
9969,16,12,28,17,loss,buyer,16,16,16,2021-01-15 13:05:31
9969,16,12,28,18,loss,buyer,17,16,16,2021-01-15 13:07:51
9969,16,12,28,19,loss,buyer,15,16,16,2021-01-15 13:09:28
9969,16,12,28,20,loss,buyer,18,16,16,2021-01-15 13:11:44
13221,20,11,24,1,gain,buyer,14,13,13,2021-01-15 12:31:58
13221,15,10,24,2,gain,buyer,16,14,14,2021-01-15 12:36:27
13221,16,9,24,3,gain,buyer,15,15,15,2021-01-15 12:37:58
13221,15,0,24,4,gain,buyer,17,16,16,2021-01-15 12:39:52
13221,17,8,24,5,gain,buyer,13,16,16,2021-01-15 12:41:37
13221,17,7.010000000000002,24,6,gain,buyer,17,16.99,16,2021-01-15 12:43:35
13221,17,8,24,7,gain,buyer,18,16,16,2021-01-15 12:45:32
13221,14,0,24,8,gain,buyer,14,16,16,2021-01-15 12:47:47
13221,16,8,24,9,gain,buyer,19,16,16,2021-01-15 12:49:44
13221,16,8,24,10,gain,buyer,18,16,16,2021-01-15 12:51:40
13221,25,0,17,11,loss,seller,14,16,16,2021-01-15 12:53:38
13221,21,0,17,12,loss,seller,13,16,16,2021-01-15 12:55:33
13221,20,0,17,13,loss,seller,17,16,16,2021-01-15 12:57:26
13221,20,0,17,14,loss,seller,18,16,16,2021-01-15 12:59:41
13221,20,0,17,15,loss,seller,15,16,16,2021-01-15 13:01:48
13221,20,0,17,16,loss,seller,15,16,16,2021-01-15 13:03:38
13221,20,0,17,17,loss,seller,16,16,16,2021-01-15 13:05:45
13221,16,-1,17,18,loss,seller,17,16,16,2021-01-15 13:07:31
13221,20,0,17,19,loss,seller,15,16,16,2021-01-15 13:09:33
13221,20,0,17,20,loss,seller,18,16,16,2021-01-15 13:11:28
13247,18,0,11,1,gain,seller,14,13,13,2021-01-15 12:31:23
13247,10,3,11,2,gain,seller,14,15,14,2021-01-15 12:36:14
13247,10,4,11,3,gain,seller,15,15,15,2021-01-15 12:37:54
13247,9,5,11,4,gain,seller,17,16,16,2021-01-15 12:39:32
13247,6,5,11,5,gain,seller,13,16,16,2021-01-15 12:41:46
13247,7,5,11,6,gain,seller,17,16.99,16,2021-01-15 12:43:35
13247,8,5,11,7,gain,seller,18,16,16,2021-01-15 12:45:22
13247,9,5,11,8,gain,seller,14,16,16,2021-01-15 12:47:23
13247,10,5,11,9,gain,seller,19,16,16,2021-01-15 12:49:23
13247,9,5,11,10,gain,seller,18,16,16,2021-01-15 12:51:24
13247,11,14,1,11,gain,seller,8,15,15,2021-01-15 12:53:34
13247,12,14,1,12,gain,seller,7,16,15,2021-01-15 12:55:40
13247,11,15,1,13,gain,seller,9,16,16,2021-01-15 12:57:48
13247,12,15,1,14,gain,seller,10,16,16,2021-01-15 13:00:31
13247,20,0,1,15,gain,seller,7,18,16,2021-01-15 13:01:41
13247,10,15,1,16,gain,seller,7,16.5,16,2021-01-15 13:03:26
13247,10,15,1,17,gain,seller,8,16.75,16,2021-01-15 13:05:31
13247,10,15.5,1,18,gain,seller,8,16.75,16.5,2021-01-15 13:07:32
13247,10,15.5,1,19,gain,seller,7,16.75,16.5,2021-01-15 13:09:41
13247,11,15.5,1,20,gain,seller,8,16.75,16.5,2021-01-15 13:11:38
13956,22,0,19,1,loss,seller,7,10,10,2021-01-15 12:30:34
13956,15,0,19,2,loss,seller,9,11,11,2021-01-15 12:36:51
13956,14,0,19,3,loss,seller,10,11,11,2021-01-15 12:38:29
13956,15,0,19,4,loss,seller,10,11,11,2021-01-15 12:39:50
13956,14,0,19,5,loss,seller,12,11,11,2021-01-15 12:42:11
13956,14,0,19,6,loss,seller,11,11,11,2021-01-15 12:43:23
13956,15,0,19,7,loss,seller,9,11,11,2021-01-15 12:45:42
13956,14,0,19,8,loss,seller,11,11,11,2021-01-15 12:47:52
13956,14,0,19,9,loss,seller,10,11,11,2021-01-15 12:49:33
13956,14,0,19,10,loss,seller,9,11,11,2021-01-15 12:52:05
13956,14,14,1,11,gain,seller,8,15,15,2021-01-15 12:53:55
13956,14,14,1,12,gain,seller,7,16,15,2021-01-15 12:55:30
13956,14,15,1,13,gain,seller,9,16,16,2021-01-15 12:57:46
13956,14,15,1,14,gain,seller,10,16,16,2021-01-15 12:59:57
13956,14,15,1,15,gain,seller,7,18,16,2021-01-15 13:01:36
13956,15,15,1,16,gain,seller,7,16.5,16,2021-01-15 13:03:30
13956,15,15,1,17,gain,seller,8,16.75,16,2021-01-15 13:05:22
13956,16,15.5,1,18,gain,seller,8,16.75,16.5,2021-01-15 13:07:24
13956,16,15.5,1,19,gain,seller,7,16.75,16.5,2021-01-15 13:09:39
13956,16,15.5,1,20,gain,seller,8,16.75,16.5,2021-01-15 13:12:25
14185,15,0,13,1,loss,seller,7,11,10,2021-01-15 12:33:08
14185,11,-2,13,2,loss,seller,9,11,11,2021-01-15 12:36:24
14185,8,-2,13,3,loss,seller,10,11,11,2021-01-15 12:37:42
14185,9,-2,13,4,loss,seller,10,11,11,2021-01-15 12:39:29
14185,11,-2,13,5,loss,seller,12,11,11,2021-01-15 12:41:24
14185,11,-2,13,6,loss,seller,11,11,11,2021-01-15 12:43:51
14185,11,-2,13,7,loss,seller,9,11,11,2021-01-15 12:45:57
14185,12,0,13,8,loss,seller,11,11,11,2021-01-15 12:48:13
14185,12,0,13,9,loss,seller,10,11,11,2021-01-15 12:50:41
14185,14,0,13,10,loss,seller,9,11,11,2021-01-15 12:52:03
14185,14,2,13,11,gain,seller,8,15,15,2021-01-15 12:53:23
14185,20,0,13,12,gain,seller,7,16,15,2021-01-15 12:55:45
14185,15,3,13,13,gain,seller,9,16,16,2021-01-15 12:58:19
14185,15,3,13,14,gain,seller,10,16,16,2021-01-15 13:00:28
14185,16,3,13,15,gain,seller,7,18,16,2021-01-15 13:02:21
14185,18,0,13,16,gain,seller,7,16.5,16,2021-01-15 13:04:07
14185,16,3,13,17,gain,seller,8,16.75,16,2021-01-15 13:05:49
14185,16.5,3.5,13,18,gain,seller,8,16.75,16.5,2021-01-15 13:08:06
14185,16.5,3.5,13,19,gain,seller,7,16.75,16.5,2021-01-15 13:10:18
14185,16.69,0,13,20,gain,seller,8,16.75,16.5,2021-01-15 13:11:41
14472,12,0,10,1,loss,seller,7,11,10,2021-01-15 12:30:36
14472,11,1,10,2,loss,seller,9,11,11,2021-01-15 12:36:44
14472,11,1,10,3,loss,seller,10,11,11,2021-01-15 12:37:53
14472,11,1,10,4,loss,seller,10,11,11,2021-01-15 12:39:52
14472,11,1,10,5,loss,seller,12,11,11,2021-01-15 12:41:59
14472,11,1,10,6,loss,seller,11,11,11,2021-01-15 12:43:46
14472,11,1,10,7,loss,seller,9,11,11,2021-01-15 12:45:59
14472,11,1,10,8,loss,seller,11,11,11,2021-01-15 12:47:49
14472,11,1,10,9,loss,seller,10,11,11,2021-01-15 12:49:44
14472,11,1,10,10,loss,seller,9,11,11,2021-01-15 12:51:40
14472,19,3,19,11,loss,buyer,14,16,16,2021-01-15 12:53:43
14472,18,3,19,12,loss,buyer,13,16,16,2021-01-15 12:56:15
14472,19,3,19,13,loss,buyer,17,16,16,2021-01-15 12:58:13
14472,16,3,19,14,loss,buyer,18,16,16,2021-01-15 12:59:51
14472,16,3,19,15,loss,buyer,15,16,16,2021-01-15 13:01:27
14472,16,3,19,16,loss,buyer,15,16,16,2021-01-15 13:03:43
14472,16,3,19,17,loss,buyer,16,16,16,2021-01-15 13:05:40
14472,16,3,19,18,loss,buyer,17,16,16,2021-01-15 13:07:19
14472,16,3,19,19,loss,buyer,15,16,16,2021-01-15 13:09:33
14472,16,3,19,20,loss,buyer,18,16,16,2021-01-15 13:11:48
14553,26,16,26,1,loss,buyer,7,10,10,2021-01-15 12:31:15
14553,6,0,26,2,loss,buyer,9,11,11,2021-01-15 12:36:59
14553,7,0,26,3,loss,buyer,10,11,11,2021-01-15 12:38:15
14553,22,15,26,4,loss,buyer,10,11,11,2021-01-15 12:39:58
14553,28,15,26,5,loss,buyer,12,11,11,2021-01-15 12:42:04
14553,11,15,26,6,loss,buyer,11,11,11,2021-01-15 12:43:49
14553,12,15,26,7,loss,buyer,9,11,11,2021-01-15 12:46:14
14553,11,15,26,8,loss,buyer,11,11,11,2021-01-15 12:48:05
14553,11,15,26,9,loss,buyer,10,11,11,2021-01-15 12:50:14
14553,11,15,26,10,loss,buyer,9,11,11,2021-01-15 12:52:02
14553,26,0,13,11,gain,seller,8,15,15,2021-01-15 12:54:10
14553,15,2,13,12,gain,seller,7,16,15,2021-01-15 12:56:10
14553,16,3,13,13,gain,seller,9,16,16,2021-01-15 12:58:04
14553,16,3,13,14,gain,seller,10,16,16,2021-01-15 12:59:52
14553,16,3,13,15,gain,seller,7,18,16,2021-01-15 13:01:54
14553,16,3,13,16,gain,seller,7,16.5,16,2021-01-15 13:04:02
14553,16.5,0,13,17,gain,seller,8,16.75,16,2021-01-15 13:06:10
14553,16,3.5,13,18,gain,seller,8,16.75,16.5,2021-01-15 13:07:38
14553,16.5,3.5,13,19,gain,seller,7,16.75,16.5,2021-01-15 13:10:01
14553,16.5,3.5,13,20,gain,seller,8,16.75,16.5,2021-01-15 13:11:54
16013,5,10,3,1,gain,seller,14,13,13,2021-01-15 12:31:22
16013,4,11,3,2,gain,seller,14,15,14,2021-01-15 12:36:50
16013,3,12,3,3,gain,seller,15,15,15,2021-01-15 12:38:22
16013,3,13,3,4,gain,seller,17,16,16,2021-01-15 12:40:19
16013,0,13,3,5,gain,seller,13,16,16,2021-01-15 12:41:55
16013,3,13,3,6,gain,seller,17,16.99,16,2021-01-15 12:44:23
16013,3,13,3,7,gain,seller,18,16,16,2021-01-15 12:46:05
16013,3,13,3,8,gain,seller,14,16,16,2021-01-15 12:48:22
16013,3,13,3,9,gain,seller,19,16,16,2021-01-15 12:50:12
16013,4,13,3,10,gain,seller,18,16,16,2021-01-15 12:52:30
16013,40,0,15,11,loss,seller,14,16,16,2021-01-15 12:53:59
16013,15,1,15,12,loss,seller,13,16,16,2021-01-15 12:56:27
16013,14,1,15,13,loss,seller,17,16,16,2021-01-15 12:57:58
16013,15.98,1,15,14,loss,seller,18,16,16,2021-01-15 13:00:23
16013,16,1,15,15,loss,seller,15,16,16,2021-01-15 13:02:12
16013,15,1,15,16,loss,seller,15,16,16,2021-01-15 13:05:17
16013,15,1,15,17,loss,seller,16,16,16,2021-01-15 13:05:31
16013,15,1,15,18,loss,seller,17,16,16,2021-01-15 13:08:18
16013,15,1,15,19,loss,seller,15,16,16,2021-01-15 13:09:33
16013,15,1,15,20,loss,seller,18,16,16,2021-01-15 13:11:57
16839,12,7,6,1,gain,seller,14,13,13,2021-01-15 12:30:32
16839,10,8,6,2,gain,seller,16,15,14,2021-01-15 12:36:29
16839,16,0,6,3,gain,seller,15,15,15,2021-01-15 12:38:14
16839,16,10,6,4,gain,seller,17,16,16,2021-01-15 12:39:53
16839,17,0,6,5,gain,seller,13,16,16,2021-01-15 12:42:03
16839,16,10,6,6,gain,seller,17,16.99,16,2021-01-15 12:44:08
16839,16.99,0,6,7,gain,seller,18,16,16,2021-01-15 12:46:22
16839,16,10,6,8,gain,seller,14,16,16,2021-01-15 12:48:07
16839,15.99,10,6,9,gain,seller,19,16,16,2021-01-15 12:50:02
16839,16,10,6,10,gain,seller,18,16,16,2021-01-15 12:51:29
16839,16,3,19,11,loss,buyer,14,16,16,2021-01-15 12:54:18
16839,18,3,19,12,loss,buyer,13,16,16,2021-01-15 12:56:07
16839,17,3,19,13,loss,buyer,17,16,16,2021-01-15 12:58:15
16839,18,3,19,14,loss,buyer,18,16,16,2021-01-15 13:00:26
16839,17,3,19,15,loss,buyer,15,16,16,2021-01-15 13:02:12
16839,17,3,19,16,loss,buyer,15,16,16,2021-01-15 13:04:19
16839,17,3,19,17,loss,buyer,16,16,16,2021-01-15 13:06:15
16839,17,3,19,18,loss,buyer,17,16,16,2021-01-15 13:08:25
16839,15.5,0,19,19,loss,buyer,15,16,16,2021-01-15 13:09:59
16839,17,3,19,20,loss,buyer,18,16,16,2021-01-15 13:12:02
18638,7,0,10,1,gain,buyer,14,13,13,2021-01-15 12:30:47
18638,7,0,10,2,gain,buyer,14,15,14,2021-01-15 12:36:18
18638,8,0,10,3,gain,buyer,15,15,15,2021-01-15 12:37:58
18638,8,0,10,4,gain,buyer,17,16,16,2021-01-15 12:39:56
18638,8,0,10,5,gain,buyer,13,16,16,2021-01-15 12:41:44
18638,8,0,10,6,gain,buyer,17,16.99,16,2021-01-15 12:43:50
18638,7,0,10,7,gain,buyer,18,16,16,2021-01-15 12:45:46
18638,7,0,10,8,gain,buyer,14,16,16,2021-01-15 12:47:28
18638,8,0,10,9,gain,buyer,19,16,16,2021-01-15 12:49:33
18638,8,0,10,10,gain,buyer,18,16,16,2021-01-15 12:51:24
18638,16,2,18,11,loss,buyer,14,16,16,2021-01-15 12:53:27
18638,16,2,18,12,loss,buyer,13,16,16,2021-01-15 12:55:35
18638,16,2,18,13,loss,buyer,17,16,16,2021-01-15 12:57:32
18638,16,2,18,14,loss,buyer,18,16,16,2021-01-15 12:59:41
18638,16,2,18,15,loss,buyer,15,16,16,2021-01-15 13:01:24
18638,16,2,18,16,loss,buyer,15,16,16,2021-01-15 13:03:25
18638,16,2,18,17,loss,buyer,16,16,16,2021-01-15 13:05:22
18638,16,2,18,18,loss,buyer,17,16,16,2021-01-15 13:07:37
18638,16,2,18,19,loss,buyer,15,16,16,2021-01-15 13:09:31
18638,16,2,18,20,loss,buyer,18,16,16,2021-01-15 13:11:33
20178,15,0,10,1,loss,seller,7,10,10,2021-01-15 12:30:48
20178,9,1,10,2,loss,seller,9,11,11,2021-01-15 12:36:05
20178,11,1,10,3,loss,seller,10,11,11,2021-01-15 12:37:51
20178,11,1,10,4,loss,seller,10,11,11,2021-01-15 12:39:58
20178,11,1,10,5,loss,seller,12,11,11,2021-01-15 12:42:25
20178,12,0,10,6,loss,seller,11,11,11,2021-01-15 12:44:01
20178,11,1,10,7,loss,seller,9,11,11,2021-01-15 12:45:29
20178,11,1,10,8,loss,seller,11,11,11,2021-01-15 12:47:41
20178,11,1,10,9,loss,seller,10,11,11,2021-01-15 12:49:38
20178,11,1,10,10,loss,seller,9,11,11,2021-01-15 12:51:24
20178,11,8,8,11,loss,seller,14,16,16,2021-01-15 12:53:40
20178,16,8,8,12,loss,seller,13,16,16,2021-01-15 12:55:47
20178,16,8,8,13,loss,seller,17,16,16,2021-01-15 12:57:31
20178,16,8,8,14,loss,seller,18,16,16,2021-01-15 12:59:51
20178,16,8,8,15,loss,seller,15,16,16,2021-01-15 13:01:26
20178,16,8,8,16,loss,seller,15,16,16,2021-01-15 13:03:32
20178,16,8,8,17,loss,seller,16,16,16,2021-01-15 13:05:46
20178,16,8,8,18,loss,seller,17,16,16,2021-01-15 13:07:34
20178,16,8,8,19,loss,seller,15,16,16,2021-01-15 13:09:28
20178,16,8,8,20,loss,seller,18,16,16,2021-01-15 13:11:43
21075,14,9,22,1,gain,buyer,14,13,13,2021-01-15 12:30:44
21075,14,0,22,2,gain,buyer,14,15,14,2021-01-15 12:36:02
21075,10,0,22,3,gain,buyer,15,15,15,2021-01-15 12:37:54
21075,6,0,22,4,gain,buyer,17,16,16,2021-01-15 12:40:08
21075,20,6,22,5,gain,buyer,13,16,16,2021-01-15 12:41:59
21075,20,5.010000000000002,22,6,gain,buyer,17,16.99,16,2021-01-15 12:43:59
21075,20,6,22,7,gain,buyer,18,16,16,2021-01-15 12:46:22
21075,17,6,22,8,gain,buyer,14,16,16,2021-01-15 12:48:18
21075,17,6,22,9,gain,buyer,19,16,16,2021-01-15 12:49:52
21075,16,6,22,10,gain,buyer,18,16,16,2021-01-15 12:51:48
21075,20,14,29,11,gain,buyer,8,15,15,2021-01-15 12:54:10
21075,18,13,29,12,gain,buyer,7,16,15,2021-01-15 12:55:51
21075,18,13,29,13,gain,buyer,9,16,16,2021-01-15 12:57:55
21075,19,13,29,14,gain,buyer,10,16,16,2021-01-15 12:59:57
21075,19,11,29,15,gain,buyer,7,18,16,2021-01-15 13:01:31
21075,20,12.5,29,16,gain,buyer,7,16.5,16,2021-01-15 13:03:39
21075,20,12.25,29,17,gain,buyer,8,16.75,16,2021-01-15 13:05:33
21075,21,12.25,29,18,gain,buyer,8,16.75,16.5,2021-01-15 13:07:45
21075,23,12.25,29,19,gain,buyer,7,16.75,16.5,2021-01-15 13:09:40
21075,23,12.25,29,20,gain,buyer,8,16.75,16.5,2021-01-15 13:11:38
21538,6,0,20,1,loss,buyer,7,10,10,2021-01-15 12:30:41
21538,19,9,20,2,loss,buyer,9,11,11,2021-01-15 12:35:52
21538,20,9,20,3,loss,buyer,10,11,11,2021-01-15 12:37:25
21538,20,9,20,4,loss,buyer,10,11,11,2021-01-15 12:39:20
21538,20,9,20,5,loss,buyer,12,11,11,2021-01-15 12:41:24
21538,20,9,20,6,loss,buyer,11,11,11,2021-01-15 12:43:20
21538,20,9,20,7,loss,buyer,9,11,11,2021-01-15 12:45:21
21538,20,9,20,8,loss,buyer,11,11,11,2021-01-15 12:47:38
21538,20,9,20,9,loss,buyer,10,11,11,2021-01-15 12:49:21
21538,20,9,20,10,loss,buyer,9,11,11,2021-01-15 12:51:20
21538,20,5,20,11,gain,buyer,8,15,15,2021-01-15 12:53:26
21538,20,4,20,12,gain,buyer,7,16,15,2021-01-15 12:55:21
21538,20,4,20,13,gain,buyer,9,16,16,2021-01-15 12:57:28
21538,20,4,20,14,gain,buyer,10,16,16,2021-01-15 12:59:21
21538,20,2,20,15,gain,buyer,7,18,16,2021-01-15 13:01:19
